name,number,ad_id
Location de vélo,8,ad_620
Parking,3,ad_620
Vélib',10,ad_620
Médecin généraliste,10,ad_620
Médecin spécialiste,3,ad_620
Pharmacie,9,ad_620
Bar,5,ad_870
Restaurant,38,ad_870
Monument historique,5,ad_870
Cinéma,1,ad_870
"Parc, Jardin et Square",7,ad_870
Terrain et Salle de sport,9,ad_870
Banque,4,ad_870
Boucherie,2,ad_870
Boulangerie,13,ad_870
Bureau de poste,1,ad_870
Marché de quartier,1,ad_870
Presse et Tabac,2,ad_870
Supérette,5,ad_870
Supermarché et Hypermarché,7,ad_870
Collège,4,ad_870
Ecole maternelle,5,ad_870
Ecole primaire,6,ad_870
Enseignement supérieur,1,ad_870
Lycée,4,ad_870
Crèche,10,ad_870
Ludothèque,1,ad_870
Autolib',3,ad_870
Location de vélo,5,ad_870
Station de taxi,1,ad_870
Station service,1,ad_870
Vélib',10,ad_870
Médecin généraliste,31,ad_870
Médecin spécialiste,21,ad_870
Pharmacie,9,ad_870
Bar,6,ad_1428
Restaurant,61,ad_1428
Monument historique,6,ad_1428
Théâtre,1,ad_1428
"Parc, Jardin et Square",7,ad_1428
Salle de musculation / cardiotraining,1,ad_1428
Terrain et Salle de sport,14,ad_1428
Banque,8,ad_1428
Boucherie,5,ad_1428
Boulangerie,9,ad_1428
Bureau de poste,2,ad_1428
Marché de quartier,1,ad_1428
Presse et Tabac,3,ad_1428
Supérette,6,ad_1428
Supermarché et Hypermarché,10,ad_1428
Collège,1,ad_1428
Ecole maternelle,3,ad_1428
Ecole primaire,5,ad_1428
Enseignement supérieur,7,ad_1428
Lycée,4,ad_1428
Crèche,8,ad_1428
Autolib',5,ad_1428
Location de vélo,12,ad_1428
Parking,2,ad_1428
Station service,3,ad_1428
Vélib',14,ad_1428
Médecin généraliste,29,ad_1428
Médecin spécialiste,48,ad_1428
Pharmacie,15,ad_1428
Bar,11,ad_1505
Restaurant,30,ad_1505
Monument historique,66,ad_1505
Théâtre,1,ad_1505
Cinéma,4,ad_1505
"Parc, Jardin et Square",2,ad_1505
Salle de musculation / cardiotraining,1,ad_1505
Terrain et Salle de sport,5,ad_1505
Banque,4,ad_1505
Boucherie,2,ad_1505
Boulangerie,6,ad_1505
Bureau de poste,2,ad_1505
Marché de quartier,1,ad_1505
Presse et Tabac,5,ad_1505
Supérette,2,ad_1505
Supermarché et Hypermarché,1,ad_1505
Collège,2,ad_1505
Ecole primaire,1,ad_1505
Enseignement supérieur,3,ad_1505
Lycée,3,ad_1505
Crèche,5,ad_1505
Autolib',2,ad_1505
Location de vélo,4,ad_1505
Parking,3,ad_1505
Station de taxi,3,ad_1505
Vélib',4,ad_1505
Médecin généraliste,8,ad_1505
Médecin spécialiste,23,ad_1505
Pharmacie,4,ad_1505
Bar,5,ad_1109
Restaurant,19,ad_1109
"Parc, Jardin et Square",1,ad_1109
Terrain et Salle de sport,11,ad_1109
Boucherie,1,ad_1109
Boulangerie,5,ad_1109
Bureau de poste,1,ad_1109
Marché de quartier,1,ad_1109
Supermarché et Hypermarché,3,ad_1109
Collège,2,ad_1109
Ecole maternelle,4,ad_1109
Ecole primaire,4,ad_1109
Lycée,6,ad_1109
Crèche,5,ad_1109
Autolib',1,ad_1109
Location de vélo,11,ad_1109
Station de taxi,3,ad_1109
Station service,5,ad_1109
Vélib',7,ad_1109
Médecin généraliste,4,ad_1109
Pharmacie,5,ad_1109
Bar,16,ad_888
Restaurant,44,ad_888
Monument historique,5,ad_888
Théâtre,2,ad_888
Cinéma,1,ad_888
"Parc, Jardin et Square",7,ad_888
Terrain et Salle de sport,8,ad_888
Banque,15,ad_888
Boucherie,4,ad_888
Boulangerie,13,ad_888
Bureau de poste,1,ad_888
Marché de quartier,1,ad_888
Presse et Tabac,4,ad_888
Supérette,4,ad_888
Supermarché et Hypermarché,11,ad_888
Collège,3,ad_888
Ecole maternelle,3,ad_888
Ecole primaire,4,ad_888
Enseignement supérieur,14,ad_888
Lycée,3,ad_888
Crèche,9,ad_888
Autolib',2,ad_888
Location de vélo,12,ad_888
Parking,3,ad_888
Station de taxi,1,ad_888
Vélib',11,ad_888
Hôpital,4,ad_888
Médecin généraliste,32,ad_888
Médecin spécialiste,108,ad_888
Pharmacie,13,ad_888
Bar,1,ad_1758
Restaurant,11,ad_1758
Monument historique,10,ad_1758
"Parc, Jardin et Square",55,ad_1758
Salle de musculation / cardiotraining,2,ad_1758
Terrain et Salle de sport,9,ad_1758
Banque,14,ad_1758
Boucherie,2,ad_1758
Boulangerie,6,ad_1758
Bureau de poste,1,ad_1758
Presse et Tabac,2,ad_1758
Supérette,3,ad_1758
Supermarché et Hypermarché,6,ad_1758
Collège,4,ad_1758
Ecole primaire,3,ad_1758
Enseignement supérieur,1,ad_1758
Lycée,4,ad_1758
Crèche,1,ad_1758
Ludothèque,1,ad_1758
Autolib',3,ad_1758
