ad_id,value
ad_1579,Fibre : déployée*
ad_1579,1 place de parking
ad_1579,7e étage (sur 12)
ad_1579,Construit en 1973
ad_1579,Ascenseur
ad_1579,Digicode
ad_1579,Interphone
ad_1579,Gardien
ad_1330,"46,50 m²"
ad_1330,3 pièces
ad_1330,2 chambres
ad_1330,Chauffage : individuel 
ad_1330,Cave
ad_1330,1 salle d’eau
ad_1330,1 WC
ad_1330,Fibre : déployée*
ad_1330,5e étage (sur 7)
ad_1330,Construit en 1913
ad_592,52 m²
ad_592,3 pièces
ad_592,2 chambres
ad_592,Travaux à prévoir
ad_592,Chauffage : Electric
ad_592,1 salle d’eau
ad_592,WC séparés
ad_592,Fibre : déployée*
ad_592,6 étages
ad_592,Construit en 1910
ad_592,Ascenseur
ad_592,Digicode
ad_592,Gardien
ad_1339,49 m²
ad_1339,3 pièces
ad_1339,1 chambre
ad_1339,Balcon
ad_1339,Chauffage : gaz individuel
ad_1339,Cave
ad_1339,1 salle de bain
ad_1339,1 WC
ad_1339,4e étage (sur 5)
ad_1652,"57,01 m²"
ad_1652,2 pièces
ad_1652,1 chambre
ad_1652,Récent
ad_1652,Chauffage : collectif 
ad_1652,Fibre : déployée*
ad_1652,11 étages
ad_1652,Construit en 1974
ad_1652,Ascenseur
ad_861,32 m²
ad_861,1 pièce
ad_861,Cave
ad_861,1 salle d’eau
ad_861,Fibre : déployée*
ad_861,4e étage
ad_861,Digicode
ad_283,63 m²
ad_283,3 pièces
ad_283,2 chambres
ad_283,Chauffage : électricité 
ad_283,Cave
ad_283,1 salle d’eau
ad_283,1 WC
ad_283,Fibre : déployée*
ad_283,3e étage (sur 5)
ad_1712,50 m²
ad_1712,2 pièces
ad_1712,1 chambre
ad_1712,Exposé Sud
ad_1712,Cave
ad_1712,1 salle d’eau
ad_1712,2 WC
ad_1712,Fibre : déployée*
ad_1712,Calme
ad_1712,Rez-de-chaussée
ad_1712,Construit en 1940
ad_1712,Digicode
ad_377,"59,42 m²"
ad_377,3 pièces
ad_377,2 chambres
ad_377,Chauffage : collectif 
ad_377,Cave
ad_377,1 salle de bain
ad_377,1 WC
ad_377,Disponible le 23 juillet 2024
ad_377,1 place de parking
ad_377,8 étages
ad_377,Ascenseur
ad_377,Digicode
ad_377,Interphone
ad_377,Gardien
ad_1761,140 m²
ad_1761,5 pièces
ad_1761,3 chambres
ad_1761,Exposé Sud Est
ad_1761,Cave
ad_1761,Cheminée
ad_1761,1 salle de bain
ad_1761,1 salle d’eau
ad_1761,2 WC
ad_1761,Fibre : déployée*
ad_1761,Calme
ad_1761,2e étage (sur 7)
ad_1761,Construit en 1890
ad_1761,Ascenseur
ad_1761,Digicode
ad_1761,Interphone
ad_1761,Gardien
ad_410,"48,63 m²"
ad_410,2 pièces
ad_410,1 chambre
ad_410,Exposé Est
ad_410,1 salle d’eau
ad_410,1 WC
ad_410,Fibre : déployée*
ad_410,Calme
ad_410,1er étage (sur 6)
ad_410,Construit en 1880
